Category,Description,Short_Description
ITO,Coffee machine not dispensing properly.,Coffee machine issue
ITO,Employee grievance submitted via email.,Grievance ticket
ITO,Alarm triggered accidentally in Block D.,False alarm report
ITO,New employee orientation kit not provided.,Orientation kit issue
ITO,Milk supply not sufficient for tea time.,Milk shortage
ITO,Pending reimbursement from last financial year.,Old reimbursement issue
ITO,Complaint about insufficient lighting in parking area.,Parking lights issue
ITO,Toilet flush not working properly.,Toilet flush repair
ITO,Water bottles not available in training room.,Water bottle request
ITO,Training projector not functional.,Projector issue
ITO,Insufficient packing material for files.,Packing supply issue
ITO,Visitor not signed out properly.,Visitor log issue
ITO,"Track, assign, and resolve IT support tickets efficiently using Jira Service Management.",Manage IT support tickets
ITO,Automatically assign tickets to the appropriate agents or teams using Jira Service Management workflows.,Automate ticket assignment
ITO,Track and ensure adherence to Service Level Agreements (SLAs) with Jira Service Management’s SLA tracking tools.,Monitor SLA compliance
ITO,Provide customers or employees access to self-service portals for resolving common issues using Jira Service Management.,Enable self-service portals
ITO,"Manage and track IT assets, including hardware and software, using Jira Service Management’s asset management module.",Track asset management
ITO,Log and track change requests to IT systems for better governance using Jira Service Management.,Handle change management requests
ITO,Analyze ticket resolution times to improve service efficiency using Jira Service Management analytics.,Monitor ticket resolution times
ITO,"Connect Jira Service Management with external tools like Slack, Microsoft Teams, or Confluence for better collaboration.",Integrate with third-party tools
ITO,Categorize and prioritize incidents based on urgency or impact using Jira Service Management’s priority matrix.,Provide incident priority categorization
ITO,Store and share knowledge articles for common issues and solutions using Jira Service Management.,Create a centralized knowledge base
ITO,Use the Jira Service Management CMDB to manage and track configuration items and their relationships.,Track configuration management items
ITO,Route tickets automatically to the appropriate teams or agents based on predefined rules in Jira Service Management.,Enable automated ticket routing
ITO,Track ongoing incidents in real time with updates and notifications using Jira Service Management.,Provide real-time incident tracking
ITO,Log and manage HR-related requests such as leave approvals or payroll inquiries with Jira Service Management.,Use Jira Service Management for HR ticketing
ITO,Streamline customer onboarding tasks and track progress using Jira Service Management’s workflows.,Handle customer onboarding workflows
ITO,Track the performance of IT services and generate reports using Jira Service Management dashboards.,Monitor IT service performance
ITO,Log and resolve recurring issues by managing problem resolution workflows in Jira Service Management.,Manage problem resolution processes
ITO,Create and manage disaster recovery plans using Jira Service Management’s project and task management tools.,Plan disaster recovery strategies
ITO,"Accept and track tickets from email, chat, and web portals into Jira Service Management’s centralized platform.",Enable multi-channel ticketing
ITO,Automate and track employee onboarding processes with Jira Service Management workflows.,Handle employee onboarding tasks
ITO,Identify recurring issues and address root causes using Jira Service Management’s analytics tools.,Track recurring service issues
ITO,Notify agents and managers when SLA deadlines are approaching or breached using Jira Service Management.,Provide SLA breach alerts
ITO,Track and manage periodic IT asset audits using Jira Service Management’s asset management module.,Use Jira Service Management for asset audits
ITO,Set role-based permissions to ensure secure access to sensitive data in Jira Service Management.,Enable role-based data access
ITO,Monitor software licenses to ensure compliance and avoid penalties using Jira Service Management.,Track software license compliance
ITO,Build custom dashboards to track real-time metrics and KPIs in Jira Service Management.,Create custom IT dashboards
ITO,Log and track facilities-related requests such as maintenance or room bookings in Jira Service Management.,Use Jira Service Management for facilities requests
ITO,Send proactive updates to users about ongoing or potential issues using Jira Service Management.,Enable proactive issue notifications
ITO,Facilitate approval workflows for IT system changes using Jira Service Management’s change management tools.,Handle IT change approval processes
ITO,View complete histories of customer interactions and issues in Jira Service Management for better support.,Track customer issue histories
ITO,Automatically escalate unresolved tickets to higher support tiers using Jira Service Management workflows.,Provide automated ticket escalations
ITO,Monitor tickets reopened after resolution to identify areas needing improvement in Jira Service Management.,Track ticket reopen rates
ITO,Manage and track procurement tasks and approvals using Jira Service Management workflows.,Use Jira Service Management for procurement tracking
ITO,Send automated updates to users during service outages using Jira Service Management’s incident tools.,Enable automated outage communications
ITO,Log and resolve IT service requests efficiently using Jira Service Management’s request management features.,Handle IT service requests
ITO,Track the health and performance of IT systems with Jira Service Management’s monitoring tools.,Monitor IT operation health
ITO,Plan and monitor software deployments using Jira Service Management’s project management tools.,Use Jira Service Management for compliance tracking
ITO,Track and manage capacity planning for IT systems using Jira Service Management analytics.,Track software deployment workflows
ITO,Analyze user feedback and ticket sentiment to improve service quality using Jira Service Management.,Plan capacity management strategies
