Category,Short Description,Description
Resolver Security Incident Register,Auto-assign incidents to teams,"Automatically assign incidents to the appropriate team based on the type, severity, or location of the incident."
Resolver Security Incident Register,Notify on new incident creation,Send notifications to relevant stakeholders when a new incident is logged in the system.
Resolver Security Incident Register,Auto-prioritize incidents,"Automatically assign priority levels to incidents based on predefined criteria such as severity, impact, or urgency."
Resolver Security Incident Register,Auto-create incident playbooks,Automatically generate incident response playbooks based on the type of incident reported.
Resolver Security Incident Register,Notify on overdue incidents,Send reminders to incident owners when incidents are overdue or nearing their resolution deadlines.
Resolver Security Incident Register,Auto-link related incidents,"Automatically link related incidents based on shared attributes such as location, type, or involved assets."
Resolver Security Incident Register,Auto-generate incident reports,"Automatically generate detailed incident reports for stakeholders, including timelines, actions taken, and resolution status."
Resolver Security Incident Register,Sync with SIEM systems,Automatically sync incident data with Security Information and Event Management (SIEM) systems for centralized monitoring.
Resolver Security Incident Register,Notify on critical incidents,Send immediate alerts to senior management or security teams when critical incidents are logged.
Resolver Security Incident Register,Auto-close resolved incidents,"Automatically close incidents that meet predefined resolution criteria, such as all tasks being completed."
Resolver Security Incident Register,Auto-create tasks for incident resolution,Automatically generate resolution tasks for incidents based on predefined workflows or playbooks.
Resolver Security Incident Register,Notify on incident status changes,"Send notifications to stakeholders when the status of an incident changes (e.g., from ""Open"" to ""In Progress"")."
Resolver Security Incident Register,Auto-update incident severity,Automatically update the severity of incidents based on new information or changes in impact.
Resolver Security Incident Register,Sync with threat intelligence feeds,Automatically update incident data with information from external threat intelligence feeds.
Resolver Security Incident Register,Auto-create compliance reports,Automatically generate compliance reports for incidents to meet regulatory requirements.
Resolver Security Incident Register,Notify on SLA breaches,Send alerts when incidents exceed their Service Level Agreement (SLA) deadlines.
Resolver Security Incident Register,Auto-create incident categories,Automatically categorize incidents based on predefined rules or keywords in incident descriptions.
Resolver Security Incident Register,Auto-assign incident owners,Automatically assign ownership of incidents to specific individuals or teams based on incident type or location.
Resolver Security Incident Register,Notify on incident escalation,Send alerts when incidents are escalated to higher levels of management or response teams.
Resolver Security Incident Register,Auto-create incident timelines,"Automatically generate timelines for incidents, including key events and actions taken."
Resolver Security Incident Register,Sync with ticketing systems,"Automatically create tickets in external ticketing systems (e.g., Jira, ServiceNow) for incidents logged in Resolver."
Resolver Security Incident Register,Auto-create recurring incident reviews,Automatically schedule recurring reviews for incidents to ensure proper follow-up and closure.
Resolver Security Incident Register,Notify on incident resolution,Send notifications to stakeholders when incidents are resolved or closed.
